"org" "year" "approve" "disapprove" "date"
"Reuters/Ipsos" 2010 45 46 "2010-12-05"
"CNN/Opinion Research" 2011 46 50 "2011-10-16"
"Reuters/Ipsos" 2012 50 46 "2012-09-10"
"FOX News" 2010 43 47 "2010-10-13"
"CNN/Opinion Research" 2011 45 54 "2011-07-20"
"ABC News/Wash Post" 2013 50 47 "2013-05-19"
"Pew Research" 2011 46 44 "2011-01-09"
"CNN" 2011 50 47 "2011-03-13"
"The Economist/YouGov" 2013 47 52 "2013-05-20"
"Reason-Rupe/PSRAI" 2013 52 42 "2013-01-21"
"Associated Press/GfK" 2011 44 54 "2011-12-12"
"CNN/Opinion Research" 2012 49 50 "2012-05-31"
"FDU/Public Mind" 2011 44 48 "2011-03-28"
"McClatchy/Marist" 2013 50 46 "2013-03-27"
"NBC News/Wall St. Jrnl" 2012 48 46 "2012-05-20"
"CBS News" 2011 48 41 "2011-02-14"
"Quinnipiac" 2010 44 47 "2010-09-07"
"Reuters/Ipsos" 2012 48 49 "2012-02-06"
"NBC News/Wall St. Jrnl" 2013 47 48 "2013-04-08"
"Politico/GWU/Battleground" 2012 49 48 "2012-10-18"
"Newsweek/Daily Beast" 2011 48 49 "2011-05-01"
"Politico/GWU/Battleground" 2012 50 48 "2012-09-20"
"ABC News/Wash Post" 2011 54 43 "2011-01-16"
"Rasmussen Reports" 2010 45 55 "2010-09-06"
"Quinnipiac" 2012 47 48 "2012-04-17"
"Pew Research" 2011 47 45 "2011-04-03"
"Reuters/Ipsos" 2011 50 46 "2011-06-06"
"CNN/Opinion Research" 2012 50 49 "2012-07-01"
"ABC News/Wash Post" 2012 50 45 "2012-04-08"
"Rasmussen Reports" 2012 49 49 "2012-02-11"
"Quinnipiac" 2012 45 49 "2012-02-20"
"Gallup" 2011 43 50 "2011-12-10"
"CBS News" 2011 43 47 "2011-11-10"
"Newsweek/Daily Beast" 2011 48 49 "2011-05-03"
"ABC News/Wash Post" 2012 47 50 "2012-08-25"
"Wash Post/Pew/SRBI" 2011 56 38 "2011-05-02"
"Democracy Corps (D)" 2013 53 45 "2013-01-14"
"Newsweek/Daily Beast" 2011 50 44 "2011-02-15"
"Associated Press/GfK" 2010 49 50 "2010-04-12"
"FOX News" 2011 43 50 "2011-10-25"
"Associated Press/GfK" 2012 49 49 "2012-02-20"
"Democracy Corps (D)" 2010 42 52 "2010-10-04"
"Reuters/Ipsos" 2012 47 50 "2012-06-11"
"ABC News/Wash Post" 2013 51 46 "2013-03-10"
"Reuters/Ipsos" 2013 45 47 "2013-05-07"
"Resurgent Republic (R)" 2011 47 49 "2011-03-03"
"Rasmussen Reports" 2010 49 50 "2010-06-27"
"ABC News/Wash Post" 2011 44 53 "2011-11-03"
"Pew Research" 2011 51 39 "2011-03-01"
"Associated Press/GfK" 2010 47 51 "2010-11-08"
"CNN/Opinion Research" 2010 51 46 "2010-05-23"
"CNN/Opinion Research" 2010 48 48 "2010-12-19"
"Quinnipiac" 2011 52 40 "2011-05-03"
"Pew Research" 2012 46 42 "2012-06-03"
"Pew Research" 2012 50 41 "2012-03-11"
"Reuters/Ipsos" 2011 47 48 "2011-12-12"
"NBC News/Wall St. Jrnl" 2010 50 44 "2010-05-10"
"ABC News/Wash Post" 2011 43 53 "2011-09-01"
"CNN/Opinion Research" 2011 45 52 "2011-09-25"
"ABC News/Wash Post" 2012 47 49 "2012-07-08"
"ABC News/Wash Post" 2011 47 48 "2011-07-17"
"CNN/Opinion Research" 2011 52 43 "2011-05-02"
"NPR" 2012 50 46 "2012-09-30"
"Reuters/Ipsos" 2011 49 46 "2011-07-11"
"Pew Research" 2010 47 42 "2010-04-26"
"National Journal" 2013 48 46 "2013-06-02"
"Bloomberg" 2011 51 43 "2011-03-07"
"The Economist/YouGov" 2013 49 49 "2013-05-06"
"CNN/Opinion Research" 2012 50 45 "2012-12-18"
"CBS News" 2010 48 44 "2010-08-24"
"ABC News/Wash Post" 2011 42 54 "2011-10-02"
"ABC News/Wash Post" 2010 50 47 "2010-07-11"
"NBC News" 2011 52 41 "2011-05-07"
"FOX News" 2013 47 45 "2013-04-22"
"CNN/Opinion Research" 2010 47 51 "2010-08-10"
"NBC News/Wall St. Jrnl" 2012 53 43 "2012-12-09"
"Reuters/Ipsos" 2011 49 47 "2011-05-09"
"NBC News/Wall St. Jrnl" 2010 45 49 "2010-08-30"
"National Journal/FD" 2011 51 41 "2011-05-22"
"Rasmussen Reports" 2010 46 52 "2010-08-29"
"Bloomberg" 2011 45 49 "2011-09-12"
"Pew Research" 2013 49 43 "2013-06-16"
"FOX News" 2012 45 51 "2012-04-24"
"Gallup" 2011 41 49 "2011-11-17"
"CBS News/NY Times" 2011 43 50 "2011-09-15"
"CNN/Opinion Research" 2013 45 54 "2013-06-13"
"Gallup" 2013 46 44 "2013-07-03"
"Rasmussen Reports" 2011 51 48 "2011-05-07"
"Pew Research" 2011 43 48 "2011-10-04"
"FOX News" 2011 48 43 "2011-06-07"
"CBS News/NY Times*" 2011 57 37 "2011-05-03"
"Gallup" 2010 49 45 "2010-05-20"
